,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
22040,False,,250000,"[{'id': 27, 'name': 'Horror'}]",,97971,tt0092750,en,Chillers,"Five passengers in a bus depot are waiting for a bus that is overdue. To pass the time, they start telling each other horror stories.",0.070623,/bRdCE57aknV8ToMxxVxlOw1fzsu.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-01-01,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Evil Travels in Many Forms...Even by Bus!!,Chillers,False,3.5,2.0
13307,False,,0,"[{'id': 18, 'name': 'Drama'}]",,34696,tt1072437,en,Fuel,"Fuel is the story of a young man's struggle to save his girl from an abusive environment. Emilio discovers that he has the ability to run incredibly fast. With the hope of a scholarship, he sees an opportunity to be able to leave his hometown, along with all his troubles, and take Sandy with him. But a tragic flaw, a violent streak he possesses, induced by exposure to gasoline vapors, will all but destroy his best-laid plans. Emilio's hopes race through his heart, not like blood, but like fuel.",0.007032,/wwbx3GO974e4RdyPNbFrgERHdP3.jpg,[],[],2009-01-01,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Fuel,False,0.0,0.0
31881,False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,29610,tt0085892,en,The Man Who Wasn't There,A minor diplomatic functionary stumbles upon a formula for invisibility.,0.621045,/pcetGAeIIF8ixkTO9cBRBg5xZmU.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1983-08-12,0.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Man Who Wasn't There,False,3.1,5.0
8642,False,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,40430,tt0064519,en,Doppelgänger,"A planet is discovered in the same orbit as Earth's but is located on the exact opposite side of the sun, making it not visible from Earth. The European Space Exploration Council decide to send American astronaut Glenn Ross and British scientist John Kane via spaceship to explore the other planet. After a disastrous crash-landing Ross awakes to learn that Kane lies near death and that they apparently have returned to Earth, as evidenced by the presence of the Council director and his staff. Released to the custody of his wife, he soon learns things are not as they seem.",5.916841,/o0LM7Mleo9Fwl9kUl6GVqd4IGQ9.jpg,"[{'name': 'Century 21 Television', 'id': 6141}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1969-08-27,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You will meet yourself face-to-face when Earth meets its duplicate in outer space!,Journey to the Far Side of the Sun,False,6.3,36.0
14535,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,60639,tt0074367,zh,達摩密宗血神飄,"An old Shaolin student -- turned evil -- wants to return to his old school to obtain the secrets of the final deadly style of Shaolin Kung Fu. The only thing he doesn't know is that his old teacher, now blind, has taught two other pupils in the hope that they can stop his fiendish plans. See the Bleeding Birds fly through the air, cutting down trees, and people, as the evil man uses his weapons to aid his war on the Shaolin Temple.  The fights feature more exaggerated stunts and special effects than normal for a mid-70s Kung Fu film. There is also more high leaping than usual for the time, both recalling the ""wuxia"" swordplay films of the 1960s and foreshadowing the ""wire fu"" trend of the early 1990s.  The fights are generally well-staged and shot and are skillfully worked into the complex intrigue of a plotline focused on Ming patriots seeking to protect their leader from Ching guards and spies in 1640s China.",0.722427,/qCLJpWzZzT8IUCf2VYfNMfNzM70.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1977-10-13,0.0,90.0,"[{'iso_639_1': 'zh', 'name': '普通话'}]",Released,,Shaolin Kung-Fu Mystagogue,False,5.8,2.0
28469,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,195382,tt0041506,it,In nome della legge,"A young, by-the-book judge is appointed to a Sicilian village controlled by corrupt leaders and the mafia.",1.249206,/jt93JF3NzqOZjsUJduaC5qtdPeS.jpg,"[{'name': 'Lux Film', 'id': 1679}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1949-03-13,0.0,101.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,In the Name of the Law,False,7.0,2.0
19192,False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,43580,tt0284714,en,The Cat in the Hat,"In a marvelously animated version of one of the most beloved of all Dr. Seuss tales, two youngsters find themselves at home with nothing to do on a rainy afternoon. But when the magical, mischievous Cat in the Hat arrives on the scene, they're all cat-apulted into a day of rousing, romping, outlandish antics they - and you - will never forget!",0.451122,/pGecEZKYXF0GBu01h3AB7qb4tpx.jpg,[],[],1971-03-10,0.0,30.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Cat in the Hat,False,6.1,11.0
6165,False,,6500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,10514,tt0066769,en,The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",11.081253,/nGI6h63HtxB0SbvaNXc5WcrRycq.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1971-03-12,12376563.0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The picture runs 130 minutes!... The story covers 96 of the most critical hours in man's history!... The suspense will last through your lifetime!,The Andromeda Strain,False,7.0,196.0
45133,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,62783,tt1482229,en,Realnyy Papa,"Roman Shilo, a known criminal, suddenly must deal with his fourteen years old daughter and not only with her but with her little stepbrother and stepsister as well.",0.09193,/vZIc3Bda8nImwO7rOHkJQwaL6g9.jpg,"[{'name': 'Rekun Cinema', 'id': 18064}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2008-04-17,0.0,87.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,A Real Dad,False,3.0,2.0
35035,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,279179,tt3638690,de,Wir tun es für Geld,,0.05459,/eu5bCymWpZl8JSVogFCvP3tNdR5.jpg,"[{'name': 'ARD', 'id': 1251}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2014-06-27,0.0,,[],Released,,Wir tun es für Geld,False,6.0,1.0
26993,False,,0,"[{'id': 37, 'name': 'Western'}]",,260409,tt0042230,en,Barricade,Western remake of Jack London's The Sea Wolf (and Michael Curtiz's 1941 film adaptation),0.240688,/1Ek22kwKiXjmrEMptzYviAK3D7t.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1950-03-24,0.0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Barricade,False,0.0,0.0
34253,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",,84254,tt0083100,ru,Шерлок Холмс и доктор Ватсон: Собака Баскервилей,"The Hound of the Baskervilles  is a 1981 Soviet film adaptation of Arthur Conan Doyle's novel The Hound of the Baskervilles. It was the third installment in the TV series about adventures of Sherlock Holmes and Doctor Watson. A potent streak of humour ran through the film as concerns references to traditional British customs and stereotypes, ensuring the film's popularity with several generations of Russophone viewers. Other features of this best entry in the series include excellent exterior shots which closely match the novel's setting in the Dartmoor marshland, as well as an all-star cast: in addition to the famous Livanov -Solomin duo as Holmes and Watson, the film stars the internationally acclaimed actor/director Nikita Mikhalkov as Sir Henry Baskerville and the Russian movie legend Oleg Yankovsky as the villain Stapleton.",1.617422,/5W1OR1Tv7JAbphYNYrUgWvkL24I.jpg,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1981-01-02,0.0,154.0,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles,False,7.5,21.0
5582,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,66592,tt0082159,en,Charlie Chan and the Curse of the Dragon Queen,"Famous detective Charlie Chan is called out of retirement to help a San Francisco detective solve a mysterious series of murders. With his bumbling grandson as his sidekick, Chan also encounters an old nemesis known as the Dragon Queen who is the prime suspect.",1.128953,/cWS96LKiUfFicPrscsxjAjKbTaB.jpg,[],[],1981-02-01,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Murderer who turn victim into human baked potato have real appetite for crime.,Charlie Chan and the Curse of the Dragon Queen,False,5.8,6.0
22061,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",,42461,tt0069228,de,Der scharlachrote Buchstabe,"In 17th-century Salem, Hester Prynne must wear a scarlet A because she is an adulteress, with a child out of wedlock. For seven years, she has refused to name the father. A vigorous older stranger arrives, recognized by Hester but unknown to others as her missing husband. He poses as Chillingworth, a doctor, watching Hester and searching out the identity of her lover. His eye soon rests on Dimmesdale, a young overwrought pastor. Enmity grows between the two men; Chillingworth applies psychological pressure, and the pastor begins to crack. A ship stops in Salem, and Hester sees it as a providential refuge for her daughter, herself, and her lover. But will Dimmesdale flee with her?",0.24152,/y0YsI97cGxWDOA9ydnZHIfaAwmi.jpg,"[{'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1973-01-01,0.0,90.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Scarlet Letter,False,6.0,3.0
44956,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,269795,tt1131724,en,2:22,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",37.484577,/aQkXOiMi7yBR3XwDbGBzDI2Tqnq.jpg,"[{'name': 'Pandemonium', 'id': 8915}, {'name': 'Lightstream Entertainment', 'id': 69756}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-06-29,422.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,2:22,False,5.5,277.0
38122,False,,0,"[{'id': 18, 'name': 'Drama'}]",,36137,tt0073465,de,Nordsee ist Mordsee,"14-year old Uwe lives in s suburban Hamburg housing estate. Besides trouble, the boy has not much to expect from his parents. To get his hands on some money, he prizes open vending machines, and to let out his frustration he beats up ""wogs"". Among them is Dschingis, his nemesis. But one day, the rivals make peace. They become friends because they realize that they have the same problems and are driven by the same dreams and hopes.",0.16225,/zJsXP92nT6oKIqNnLPC601qfXSo.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1976-04-02,0.0,87.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Nordsee ist Mordsee,False,7.5,4.0
15917,False,,7,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",,38415,tt1148165,en,Bran Nue Dae,"In the Summer of 1965 a young man is filled with the life of the idyllic old pearling port Broome - fishing, hanging out with his mates and his girl. However his mother returns him to the religious mission for further schooling. After being punished for an act of youthful rebellion, he runs away from the mission on a journey that ultimately leads him back home.",0.265854,/2TZzOpwnLscwY0jHkQNiC1eN3zb.jpg,[],[],2009-08-09,7.0,82.0,[],Released,Bran Nue Dae,Bran Nue Dae,False,5.2,6.0
20931,False,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,123431,tt2312602,en,Reincarnated,"Evolution as an artist is often times what separates legends from the more mundane. After being heavily influenced by his experience in Jamaica – and his subsequent name change from Snoop Dogg to Snoop Lion – the LBC showman prepares his latest reggae-infused album Reincarnated. As part of the process, VICE followed Snoop to the island nation as he recorded various songs with backing from Diplo, Ariel Reichtshaid and Dre Skull of Major Lazer. Having grown tired of what rap provided him, the documentary reveals the rebirth and inspiration for his latest project.",4.529236,/uat7cPaHiRiSeKaMi8bdNaDOLoC.jpg,[],[],2012-11-11,0.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Reincarnated,False,6.3,32.0
27970,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,51261,tt1059887,en,National Lampoon's The Legend of Awesomest Maximus,"Spoof of sword-and-sandal flicks such as “Gladiator,” “300″ and “Troy.” Following in the long tradition of National Lampoon, this ballsy comedy takes aim at “sword and sandal” movies of every era, with s special nod of the feathered helmet to historical epics such as 300, Gladiator, Troy, and Braveheart.",3.389921,/s3pT29EKO0ErXphEuAcjR74t8iJ.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-03-07,0.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,National Lampoon's The Legend of Awesomest Maximus,False,3.9,25.0
15310,False,,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.letterstojuliet-movie.com/,37056,tt0892318,en,Letters to Juliet,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by a the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter.",7.282488,/kUBSfYpsE1RLdl2WZL2YMJfNOEm.jpg,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Applehead Pictures', 'id': 28048}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-05-14,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,What if you had a second chance to find true love?,Letters to Juliet,False,6.6,823.0
44334,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,412363,tt5991206,he,Laavor et hakir,"Michal is 32 years old. She became religious 12 years ago, and only now is she getting married. A month before the wedding, while checking out the catering for the event, the groom has a change of heart and the wedding is called off. Michal feels she’s unable to go back to ordinary life, to the usual course of matchmaking. She feels this is the moment to change something very basic in her personality. A simple belief that God is good and sweet; that He wants to give and is only waiting for her to wish it. Michal goes on a month-long journey lasting up to the planned wedding day: “I have the venue, the dress, the apartment; God can easily come up with my groom.”",1.235839,/oc2rXZ5IgNceS836R9RbaRJqNsH.jpg,[],"[{'iso_3166_1': 'IL', 'name': 'Israel'}]",2017-05-12,0.0,110.0,"[{'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,30 days. 1 wedding. No Groom.,The Wedding Plan,False,6.0,6.0
4509,False,"{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg'}",93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,331,tt0163025,en,Jurassic Park III,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.",0.648867,/26L7XODsNlxX3VwkfuUnYOslbRF.jpg,"[{'name': 'Universal Studios', 'id': 13}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-07-18,368780809.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"This time, it's not just a walk in the park!",Jurassic Park III,False,5.7,2109.0
28735,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",http://bassentertainmentpictures.com/killspeed.php,47467,tt1027683,en,Kill Speed,"KILL SPEED is a high-octane, youth oriented, TOP GUN meets FAST &amp; FURIOUS tale about best friends who fly home-built, high-tech planes to deliver Mexican manufactured crystal meth throughout rural California in order to fund their Hollywood, rock-star lifestyle.",1.033163,/uGxaBraHQISdJM3XaXrRuQNymWh.jpg,"[{'name': 'Bass Entertainment Pictures', 'id': 9320}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-07-02,0.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Live Fast Or Die Trying,Kill Speed,False,3.7,9.0
17227,False,,30000000,"[{'id': 18, 'name': 'Drama'}]",,52505,tt1032825,en,The Other Woman,"Emilia, a law-school graduate, falls in love with her married boss, Jack. After Emilia marries Jack, her happiness turns unexpectedly to grief following the death of her infant daughter. Devastated, Emilia nonetheless carries on, attempting to forge a connection with her stepson William and to resist the interference of Jack's jealous ex-wife.",6.212898,/kdXQTMwQlHqnx21nYAN8g3tAn46.jpg,"[{'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'Handsomecharlie Films', 'id': 8873}, {'name': ""Is or Isn't Entertainment"", 'id': 36081}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-10-28,102000000.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Love makes everything possible.,The Other Woman,False,6.0,131.0
13237,False,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,13954,tt0996979,en,Alien Raiders,"It's the end of yet another night at Hastings Supermarket, a grocery store in Buck Lake, Arizona. But just before closing, a group of masked and armed to the teeth militants invades the store and take everyone hostage",8.091476,/v618YWZZQt74GqHQgUGPCILHilp.jpg,"[{'name': 'Warner Home Video', 'id': 2786}, {'name': 'Flame Ventures', 'id': 3294}, {'name': 'Raw Feed', 'id': 3295}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-09-21,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Alien Raiders,False,5.1,61.0
29217,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,10146,tt0089656,de,Männer,"A successful, womanizing middle-aged man decides to move out of the house he shares with his wife after she confesses to having an affair. He looks for a new place to live and ends up moving into his wife's lover's apartment as a roommate. The husband begins to take an interest in the artistic work of the lover and coaches him for a big job interview. Little does he know that the job he's helping the lover to get is within his own company... A story about strange circumstances and the limits of friendship.",0.490588,/n5C6BGtEH6ThHedhSmXLGp2aINC.jpg,"[{'name': 'Olga Film GmbH', 'id': 7930}, {'name': 'ZDF', 'id': 21404}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1985-12-19,0.0,95.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Men...,False,7.1,7.0
10882,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.wildblueyonder.wernerherzog.com/,8410,tt0443693,en,The Wild Blue Yonder,"An alien narrates the story of his dying planet, his and his people's visitations to Earth and Earth's self-made demise, while human astronauts in space are attempting to find an alternate planet for surviving humans to live on.",0.921349,/A2YazITtOW8iPoSHdMxYe5QSbbF.jpg,"[{'name': 'Tétra Média', 'id': 2416}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-09-05,0.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Wild Blue Yonder,False,5.7,15.0
5168,False,,1000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",,31671,tt0072737,en,Breakout,"A bush pilot is hired for $250,000 to go to Mexico to free an innocent prisoner.",2.301183,/rRp1kvKLAQVebzpB738Yk6x97n8.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1975-05-21,16000000.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sentenced to 28 years in prison for a crime he never committed. Only two things can get him out - A lot of money and Charles Bronson!,Breakout,False,6.4,16.0
23840,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,53425,tt0010057,en,A Day's Pleasure,A quickly made Chaplin two-reeler to help fill a gap while working on his first feature The Kid. It's about a an outing with his wife and kids and things don't go smoothly.,0.331941,/lEnXve0G2zXG07AV2GpIZmisYZC.jpg,"[{'name': 'First National Pictures', 'id': 3245}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1919-12-15,0.0,17.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,A Day's Pleasure,False,5.6,15.0
8445,False,,0,"[{'id': 18, 'name': 'Drama'}]",,19169,tt0039661,en,Nightmare Alley,"The movie follows the rise and fall of a con man — a story that begins and ends at a seedy travelling carnival. Stanton Carlisle (Tyrone Power) joins the carnival, working with ""Mademoiselle Zeena"" (Joan Blondell) and her alcoholic husband, Pete (Ian Keith).",5.529394,/3V2TLdDTRXi96g9rK7z1aWja3fa.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-10-09,0.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He was all things to all men ... but only one thing to all women!,Nightmare Alley,False,7.4,27.0
30775,False,,0,"[{'id': 18, 'name': 'Drama'}]",,221717,tt0060405,it,Le fate,"Four unrelated short comedies by four different directors. ""Queen Sabina""chronicles the sexual misadventures of a teenage girl on the road home. ""Queen Armenia"" centers on a self-serving opportunistic gypsy babysitter who uses her employer's kids for her own gain. The third episode, ""Queen Elena"" centers on a husband who learns a lesson about the perils of infidelity after he succumbs to the wiles of the seductive wife next door. The last vignette, ""Queen Marta"" centers on a wealthy woman who, when drunk, uses her butler as an outlet for her lust.",0.673996,/9iz77gCM7yAeItDbV2TMnoDwplU.jpg,"[{'name': 'Documento Film', 'id': 1379}, {'name': 'Columbia Films', 'id': 23531}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]",1966-09-14,0.0,110.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"Four kinds of queenly females...some regal, some legal, all exciting!",The Queens,False,6.0,1.0
12510,False,,0,"[{'id': 18, 'name': 'Drama'}]",,15185,tt0462477,en,Pierrepoint: The Last Hangman,"Following in his father's footsteps, Albert Pierrepoint becomes one of Britain's most prolific executioners, hiding his identity as a grocery deliveryman. But when his ambition to be the best inadvertently exposes his gruesome secret, he becomes a minor celebrity &amp; faces a public outcry against the practice of hanging. Based on true events.",1.987406,/9DjuZ0kpBec1biMfOO7p7KDq19u.jpg,"[{'name': 'UK Film Council', 'id': 2452}, {'name': 'Granada', 'id': 7861}, {'name': 'National Lottery through UK Film Council', 'id': 20456}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-12-07,0.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"1940's England. When the world needed a hero, he gave them what they wanted. But history can be cruel.",Pierrepoint: The Last Hangman,False,7.7,16.0
23882,False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,30195,tt0042664,en,A Lady Without Passport,A secret service agent falls in love with an illegal immigrant.,0.753699,/s94ru44wcJNbLz9dHJ98gASgX9x.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1950-08-03,0.0,74.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How long can she remain,A Lady Without Passport,False,2.2,3.0
28168,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,116303,tt2246953,ja,レンタネコ,A single woman runs a rent-a-cat service to provide companions for lonely people.,1.691096,/twteMDZrXSXCh5DxcHsIyAIJEXf.jpg,"[{'name': 'Asmik Ace Entertainment', 'id': 3033}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2012-05-12,0.0,110.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Rent-a-Cat,False,6.6,10.0
5716,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,14664,tt0083064,en,Sharky's Machine,"Sharky gets busted back to working vice, where he happens upon a scandalous conspiracy involving a local politician. Accompanied by an all-star jazz soundtrack, Sharky's new ""machine"" gathers evidence while Sharky falls in love with a woman he has never met.",2.633399,/unpEPbhTSyPPQhHvzTRiXvUwtHd.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Deliverance Productions', 'id': 11593}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-12-18,35610100.0,122.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"If you mess with a cop like Sharky, you better be very tough . . . or very beautiful.",Sharky's Machine,False,6.1,31.0
29234,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,36808,tt0087418,en,Hollywood Hot Tubs,"A teen and his friends get into trouble for vandalizing the Hollywood sign, and rather than going to prison he opts to work for his uncle's hot tub repair company. The sleazy salesman drums up business by sabotaging the tubs at Hollywood Hot Tubs and by wooing the owner. The nephew begins falling in love with the secretary at his uncle's company, but risks losing her when caught in compromising but unintentional situations while he goes about his duties as tub repairman.",0.035358,/bTTG4jP0YWqjt7PvKUVObHv7QzT.jpg,"[{'name': 'Hollytubs', 'id': 5626}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1984-07-01,0.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Why not work where everybody plays?,Hollywood Hot Tubs,False,4.0,1.0
16975,False,,0,"[{'id': 37, 'name': 'Western'}]",,40719,tt0036038,en,War of the Wildcats,"Cowboy Dan Somers and oilman Jim ""Hunk"" Gardner compete for oil lease rights on Indian land in Oklahoma, as well as for the favors of schoolteacher Cathy Allen.",3.389994,/hKrrXmO56j0bXwcFIdmtNTBrXVF.jpg,"[{'name': 'Republic Pictures (I)', 'id': 14317}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-12-06,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,BATTLE-HEAT! Untamed men clash in a well of violence!,War of the Wildcats,False,6.3,8.0
